原文,原AI标签,LLM置信度(1-5),LLM理由,LLM建议标签,人工修正标签,平台
标题：OPPO 的道歉，反映出来哪些问题？,正面,1,标题以疑问句形式提出“反映出来哪些问题”，属于客观讨论或分析性内容，没有表达赞美、推荐或感谢倾向，不符合正面情感定义。,中性,,抖音
标题：彭健观察丨急于与学生切割，武大做错了什么？ （深圳报业集团记者彭健  孙龙）#媒体精选计划  #精选主播说,中性,2,标题“急于与学生切割，武大做错了什么？”使用了“做错了什么”这一带有批评倾向的措辞，属于对武汉大学的负面评价，而非中性客观陈述。,负面,中性,抖音
标题：“我妈有两个‘老公’”？！OPPO 母亲节文案引争议，品牌方正式发文致歉：下架全部相关宣传物料 整改审核杜绝类似问题#OPPO  #广告,负面,5,帖子内容明确描述OPPO母亲节文案引发争议并致歉下架，属于品牌声誉风险事件，符合负面情感定义。[[concepts/sentiment-analysis-dimensions.md]],负面,,抖音
标题：OPPO手机余某团队母亲节“我妈有两个老公”文案引争议，5月10日，#武汉大学就OPPO母亲节文案发声 ：余某曾为敝院学生，但学校极不认同广告文案的内容表述和价值倾向。,中性,1,帖子内容明确报道了OPPO母亲节文案引发争议，且武汉大学官方发声表示“极不认同”其价值倾向，属于品牌声誉风险事件，情感应为负面。,负面,,抖音
标题：“我妈有两个老公”OPPO就母亲节争议文案致歉,中性,1,帖子内容涉及品牌因争议文案致歉，属于品牌声誉风险事件，情感倾向应为负面，而非中性。[[cases/case-002]] 中类似“文案翻车”案例被标注为品牌声誉风险，支持此判断。,负面,中性,抖音
标题：“我妈有两个老公”，5月8日，#OPPO就母亲节文案致歉 ：初衷是打破刻板印象，呈现更多元、更立体的当代母亲形象。,正面,1,帖子内容涉及“母亲节文案翻车”和“致歉”，属于品牌声誉风险事件，AI标注为“正面”明显与事实不符。,负面,中性,抖音
标题：OPPO母亲节文案引争议，称“我妈有两个‘老公’一个是我爸 另一个一年见两回”。网友认为价值观不正确，该文案已被删除。目前，OPPO官方已就母亲节文案争议致歉。,中性,1,帖子内容明确描述OPPO母亲节文案引发争议、网友批评价值观不正确、官方致歉，整体呈现的是品牌负面舆情事件，而非中性客观陈述。,负面,中性,抖音
标题：#精选主播说 OPPO母亲节广告文案“翻车”，策划人母校紧急“割袍断义”。真正的名校风骨，应在于始终如一，用同一把标尺去对待每一位学子,正面,1,帖子标题明确批评OPPO母亲节广告文案“翻车”，并指责策划人母校“割袍断义”，整体语气是负面评价和质疑，而非正面赞扬。,负面,中性,抖音
标题：一边沮报我妈一边抄我妈作业？？？什么操作 #OPPO  #母亲节  #营销  #公关,正面,1,帖子标题使用“沮报”（应为“举报”）和“抄作业”等负面词汇，并带有质疑语气（“什么操作”），明显是对OPPO母亲节营销行为的批评，而非正面评价。,负面,,抖音
标题：OPPO就母亲节文案事件发布问责通告 高级副总裁职级直降两级,正面,1,帖子内容是关于企业因负面事件（母亲节文案翻车）发布问责通告，涉及高管被处罚，属于品牌声誉风险事件，情感倾向应为负面。,负面,中性,抖音
标题：鬼才营销！妈妈俩老公？我找茬都写不出这种文案…… #手机 #智能手机 #营销 #公关 #硬核深度计划,负面,1,帖子内容是对营销文案的调侃和惊讶（“鬼才营销”），没有表达批评、抱怨或警告倾向，属于中性评价。[[concepts/sentiment-analysis-dimensions.md]],中性,负面,抖音
标题：哪一个是你心目中的无人机 #大疆 #无人机航拍震撼画面#科技  #创作者中心 #创作灵感,中性,3,帖子标题带有“震撼画面”等积极词汇，且使用话题标签推广无人机航拍，整体呈现推荐和赞美倾向，而非中性客观陈述。,正面,,抖音
"使用action6已有半个多月啦！真的是爱不释手，出门溜达都会随手把它带上，时时刻刻记录我的生活小碎片。我想这就是我买它的意义！ 
📷拍摄设置",负面,1,帖子内容明确表达“爱不释手”“记录生活小碎片”“买它的意义”，是典型的产品推荐和满意表达，AI标注为“负面”属于严重误判。,正面,,抖音
标题：8秒带你感受调色后区别（有参数），真的超简单！记得收藏！#大疆Action6 #调色教程 #摄影 #调色参数 #风景,中性,3,帖子标题包含“超简单”“记得收藏”等推荐性、赞美性语言，且内容为调色教程分享，整体情感倾向正面，AI标注为中性不够准确。,正面,,抖音
标题：在大疆做上穿戴甲了 #大疆 #dji #大疆Micmini2 #OsmoNano #大疆nano,中性,3,帖子标题“在大疆做上穿戴甲了”带有幽默和炫耀语气，结合“#大疆 #dji”等品牌标签，整体表达了对大疆产品的喜爱和推荐倾向，属于正面情感，而非中性。,正面,,抖音
"#大疆#大疆Pocket3#口袋相机#vlog相机#风光摄影
🎬：lifewithelliott",中性,3,帖子内容包含产品型号标签和风光摄影话题，并附有创作者账号，通常暗示推荐或展示使用体验，属于正面倾向，而非完全中性。,正面,,抖音
标题：普通人做特姆也能月销7位数？我亲测做到了。#跨境电商 #电商干货 #temu #电商,负面,1,帖子标题和标签（“亲测做到了”“电商干货”）明显是分享成功经验、推荐或展示成果，属于正面或中性内容，AI误判为负面。,正面,,抖音
"哪些数据要重点看
看完要怎么做？
一一说明
#跨境电商 #跨境电商选品 #数据流量 #temu",中性,5,帖子内容为询问“哪些数据要重点看”和“看完要怎么做”，属于客观提问和说明，无任何赞美、批评或情绪倾向，符合中性定义。,中性,,抖音
标题：新手做TEMU跨境电商的全套流程教程 #TEMU #跨境电商 #TEMU跨境电商 #temu还能做吗,中性,5,帖子标题为教程类内容，仅陈述“全套流程教程”并带话题标签，无任何赞美、批评或情绪化语言，符合中性定义。[[concepts/sentiment-analysis-dimensions.md]],中性,,抖音
#跨境电商 #电商 #temu #电商创业,负面,2,帖子内容仅为话题标签（#跨境电商 #电商 #temu #电商创业），无任何评价性语言，属于客观陈述或信息分享，不应判定为负面。,中性,,抖音
标题：temu平台流量池计算方法 #跨境电商 #temu #马全跨境 #shein #temu流量池,负面,1,帖子标题仅为客观陈述“流量池计算方法”并罗列平台标签，无任何批评、抱怨或推荐倾向，属于信息分享类内容，不包含情感评价。,中性,,抖音
标题：Temu最新的流量加速与活动价格策略 Temu最新的流量加速、流量增长与活动价格的调整策略。#temu #跨境电商 #temu运营,中性,5,帖子内容为客观描述Temu的流量与价格策略，无任何赞美、批评或情绪化语言，符合中性定义。,中性,,抖音
标题：TEMU财务计算方法 教你如何精细化计算TEMU每月的盈亏情况#temu盈亏计算 #temu #如何计算temu财务 #temu财务 #temu利润,负面,5,帖子标题为“教你如何精细化计算TEMU每月的盈亏情况”，属于财务方法的教学分享，没有表达批评、抱怨或推荐等情感倾向，因此应标注为中性。,中性,,抖音
标题：欧盟进口商标签 #跨境电商 #跨境 #temu #外贸,负面,1,帖子内容仅为标题式关键词罗列（“欧盟进口商标签 #跨境电商 #跨境 #temu #外贸”），无任何批评、抱怨或推荐倾向，属于客观信息陈述，不应判定为负面。,中性,,抖音
标题：temu 全托如何提高出单量❓🤔#temu #干货分享,中性,5,帖子标题为“temu 全托如何提高出单量”，属于方法询问/经验分享类内容，无任何正面或负面评价倾向，符合中性定义。[[concepts/sentiment-analysis-dimensions.md]],中性,,抖音
标题：Temu快速报活动的正确方法 三种模式报活动，适合各种类型的店铺。#temu #跨境电商 #temu运营,中性,5,帖子内容为客观分享Temu报活动的方法教程，无任何赞美或批评倾向，属于纯粹的信息传递。,中性,,抖音
标题：Temu这个平台到底怎么样？个人观点简单分析一下，请指正。 #Temu #跨境电商 #Temu运营 #外贸干货,负面,1,帖子标题是“个人观点简单分析一下，请指正”，内容为中性分析或讨论，没有批评、抱怨或警告倾向，不符合负面情感定义。[[concepts/sentiment-analysis-dimensions.md]],中性,,抖音
标题：Temu Y2 模式，什么人能做？什么货能卖？坑在哪？讲明 #Temu #Temu运营 #跨境电商 #temuy2 #y2模式,中性,5,帖子标题以问句形式客观探讨Temu Y2模式的适用人群、选品和风险，属于信息分享类内容，无赞美或批评倾向，符合中性定义。,中性,,抖音
标题：Temu新拼姆《外贸综合服务储议》避坑解析 #temu #跨境电商 #temu运营 #新拼姆,中性,3,标题为“避坑解析”，带有警示和客观分析倾向，但未出现明确的正面或负面情感词，属于信息分享类内容，AI标注为中性基本合理。,中性,,抖音
标题：多多的新拼姆是什么？Temu商家后面何去何从？一起聊聊看。 #Temu #跨境电商 #Temu运营 #拼多多,中性,4,帖子标题以提问和探讨语气为主，未表达明确正面或负面评价，符合中性定义。,中性,,抖音
错过了24年十月份的美区，错过了25年4月份的欧洲，错过了25年6月份的英国，难道你还要错过最后一波y2的红利吗。 遍地都是先发优势，本条视频将会最全面的讲解pod模式下的y2到底如何入局，和y1相比，将会有哪些新的机会，视频比较长，全是干货，记得点赞关注➕收藏#temu #跨境电商 #temu商家现状 #temuy2 #temu半托管,正面,5,帖子内容为推广TEMU新业务模式（Y2）的教程视频，语气鼓励、推荐，并引导用户点赞收藏，属于典型的正面推广内容。,正面,中性,抖音
标题：Temu全托，我该怎么继续，最近单量变少，我小伙伴都没活干了 #女性职场年龄焦虑 #temu还能做吗 #temu商家现状 #temu运营 #希音,正面,1,帖子内容表达了“单量变少”“没活干了”等经营困境和焦虑情绪，属于对平台现状的负面抱怨，AI标注为“正面”完全错误。,负面,,抖音
标题：temu最新标签特姆 不会的看看吧跨境标签 特姆标签 temu跨境,中性,5,帖子内容仅为标题式关键词罗列（“temu最新标签特姆 不会的看看吧跨境标签 特姆标签 temu跨境”），无任何评价性语言、情绪表达或主观判断，符合中性定义。,中性,,抖音
标题：#TEMU#TEMU运营,中性,3,帖子内容仅包含话题标签“#TEMU#TEMU运营”，无任何评价性语言或情感倾向，AI标注为中性符合事实。,中性,,抖音
"近来关于电影“监狱来的妈妈”引起的争议沸沸扬扬，联想起前期的几桩事件，涉及到所谓“极端女权主义”，值得多说几句。先把几件事情的原委请豆包与
deep seek",负面,3,帖子内容是对社会争议事件的客观梳理和讨论，没有表达明确的批评或赞美倾向，属于中性陈述。,中性,负面,微信公众号
"时间真是个磨人的小妖精。
2016 年，机哥在手机上最爱玩的游戏是
《王者荣耀》
，一度无法自拔！
在那之后手游市场风起云涌，茨木童子、三级头、坐火箭一个个都勾引着我去玩。
三年过去，兜兜转转，机哥还是回到了手中的农药上来。
流水的爆款，铁打的农药
，果然
能沉淀下来的才是好东西。
作为一个农药忠实粉丝，机哥敏锐地发现，OPPO 刚刚特别推出了一款“R17 Pro 王者定制版”新机。
哟呵！OPPO 和王者荣耀之间那不可描述的关系，机哥是知道的。
但是死活也没想到，这次的惊喜竟然来得这么赞。
废话少说，机哥已经拿到了它，来看机机——
OPPO R17 Pro 王者定制版
妈耶，好漂酿，再来几张。
太骚气了，这个颜色真的有学问了我跟你讲。
乍一看，它是一台
绿色的手机
。
但等拿到手上，你会发现……
它还是一台绿色的手机。
哎呀不是废话啦，你们仔细看。
机身上一道标志性的 S 型光晕，仿佛把背部区分成了两种颜色。
左边是更深的绿，绿到偏黑，古话叫
“黛绿”
。
右边是更浅的绿，绿到偏青，古话叫
“青碧”
。
当然这只是光晕效果，改变角度，背面又会变成别的样子。
这个颜色的官方名称叫
“凝光绿”
，灵感来自于流淌着波光的湖面，兼具松石的高贵与绿色的清新，象征着生命与希望。
除了这个很好看的配色和神奇的光晕之外，王者定制版当然要有信仰 logo。
对了，这是
王者荣耀的全新 logo
，还热乎着呢。
上下还有一道很特别的线条。
常玩农药的人肯定知道，这个线条灵感是来自于游戏中极具代表性的
“机关术”元素
。
通过精简的线条勾勒，王者荣耀的主题跃然“机”上。
咱们把手机翻过来，正面是一块屏占比达到
91.5% 的水滴屏
。
搭配上专属的王者荣耀主题壁纸，拿在手上咱一看就知道是“自己人”。
除了外观，有没有更给力的地方呢？
嘿嘿，要知道
OPPO 一直以来都是王者荣耀的官方技术合作伙",正面,5,全文以第一人称粉丝视角，对《王者荣耀》和OPPO R17 Pro王者定制版均表达了强烈的喜爱、推荐和赞美，无任何批评或负面评价，符合多维度情感分析中“整体情感正面”的定义。,正面,,微信公众号
"最近可真有意思，前有Oppo野爹广告，后有杀人犯洗白成过失杀人，然后罪犯本人还能堂而皇之的来拍电影，仿佛这种经历是值得被宣传的
如果每个人都不发声，那么我们的社会终将被这股歪风邪气占领舆论。我不相信这不是西方的渗透行为。事实上前几年美国某些NGO组织自己就说过，投入了不少资金给针对中国的女权、性别组织
《监狱来的妈妈》，其原型的罪名明确是故意伤害致人死亡，而非防卫过当，且其主张的遭受家暴只有自己的口供而无病历、验伤、报警等佐证，不知道这么个明确事实的罪犯是如何被美化成所谓的“女权”来宣传的
又是参加国外电影节的电影，呵呵
欧美也好、日韩也好，其妇女儿童地位低下，不知有多少男女明星被性侵过(男明星小时候被性侵的不计其数，而且很多人并不藏着掖着，在采访中都明确说过)，他们确实应该搞一搞平权运动
反观中国，我们早就妇女解放、可以顶半边天了。在今天的中国搞女权，绝大多数都是吃西方狗粮的不明生物。尤其是搞oppo野爹广告、拍杀人犯电影这种行为，纯纯是反动派，为了在西方某些电影节上弄个奖连脸都不要了
最后我想说，这些打着女权名义来搞事的玩意，别觉得是什么新事物，我们革命的时候就见过了，真以为自己很潮吗？",负面,5,帖子全文对Oppo广告、电影《监狱来的妈妈》及“女权”运动均持强烈批评和否定态度，情感倾向明确为负面。,负面,,微信公众号
"近来关于电影“监狱来的妈妈”引起的争议沸沸扬扬，联想起前期的几桩事件，涉及到所谓“极端女权主义”，值得多说几句。先把几件事情的原委请豆包与
deep seek",负面,3,帖子内容是对社会争议事件的客观梳理和评论，没有表达明确的批评或赞美倾向，属于事实陈述和观点讨论，不符合负面情感的定义。,中性,负面,微信公众号
"时间真是个磨人的小妖精。
2016 年，机哥在手机上最爱玩的游戏是
《王者荣耀》
，一度无法自拔！
在那之后手游市场风起云涌，茨木童子、三级头、坐火箭一个个都勾引着我去玩。
三年过去，兜兜转转，机哥还是回到了手中的农药上来。
流水的爆款，铁打的农药
，果然
能沉淀下来的才是好东西。
作为一个农药忠实粉丝，机哥敏锐地发现，OPPO 刚刚特别推出了一款“R17 Pro 王者定制版”新机。
哟呵！OPPO 和王者荣耀之间那不可描述的关系，机哥是知道的。
但是死活也没想到，这次的惊喜竟然来得这么赞。
废话少说，机哥已经拿到了它，来看机机——
OPPO R17 Pro 王者定制版
妈耶，好漂酿，再来几张。
太骚气了，这个颜色真的有学问了我跟你讲。
乍一看，它是一台
绿色的手机
。
但等拿到手上，你会发现……
它还是一台绿色的手机。
哎呀不是废话啦，你们仔细看。
机身上一道标志性的 S 型光晕，仿佛把背部区分成了两种颜色。
左边是更深的绿，绿到偏黑，古话叫
“黛绿”
。
右边是更浅的绿，绿到偏青，古话叫
“青碧”
。
当然这只是光晕效果，改变角度，背面又会变成别的样子。
这个颜色的官方名称叫
“凝光绿”
，灵感来自于流淌着波光的湖面，兼具松石的高贵与绿色的清新，象征着生命与希望。
除了这个很好看的配色和神奇的光晕之外，王者定制版当然要有信仰 logo。
对了，这是
王者荣耀的全新 logo
，还热乎着呢。
上下还有一道很特别的线条。
常玩农药的人肯定知道，这个线条灵感是来自于游戏中极具代表性的
“机关术”元素
。
通过精简的线条勾勒，王者荣耀的主题跃然“机”上。
咱们把手机翻过来，正面是一块屏占比达到
91.5% 的水滴屏
。
搭配上专属的王者荣耀主题壁纸，拿在手上咱一看就知道是“自己人”。
除了外观，有没有更给力的地方呢？
嘿嘿，要知道
OPPO 一直以来都是王者荣耀的官方技术合作伙",正面,5,全文以第一人称“机哥”的口吻，对《王者荣耀》游戏和OPPO R17 Pro王者定制版手机进行了热情推荐和赞美，使用了“好东西”、“惊喜”、“好漂酿”、“太骚气了”等大量正面词汇，情感倾向明确为正面。,正面,,微信公众号
"最近可真有意思，前有Oppo野爹广告，后有杀人犯洗白成过失杀人，然后罪犯本人还能堂而皇之的来拍电影，仿佛这种经历是值得被宣传的
如果每个人都不发声，那么我们的社会终将被这股歪风邪气占领舆论。我不相信这不是西方的渗透行为。事实上前几年美国某些NGO组织自己就说过，投入了不少资金给针对中国的女权、性别组织
《监狱来的妈妈》，其原型的罪名明确是故意伤害致人死亡，而非防卫过当，且其主张的遭受家暴只有自己的口供而无病历、验伤、报警等佐证，不知道这么个明确事实的罪犯是如何被美化成所谓的“女权”来宣传的
又是参加国外电影节的电影，呵呵
欧美也好、日韩也好，其妇女儿童地位低下，不知有多少男女明星被性侵过(男明星小时候被性侵的不计其数，而且很多人并不藏着掖着，在采访中都明确说过)，他们确实应该搞一搞平权运动
反观中国，我们早就妇女解放、可以顶半边天了。在今天的中国搞女权，绝大多数都是吃西方狗粮的不明生物。尤其是搞oppo野爹广告、拍杀人犯电影这种行为，纯纯是反动派，为了在西方某些电影节上弄个奖连脸都不要了
最后我想说，这些打着女权名义来搞事的玩意，别觉得是什么新事物，我们革命的时候就见过了，真以为自己很潮吗？",负面,5,帖子全文对Oppo广告、电影《监狱来的妈妈》及其原型、西方女权渗透均持强烈批评和否定态度，情感倾向明确为负面。,负面,,微信公众号
"今日，大疆发布
DJI 飞行眼镜竞速版
（DJI Goggles RE），为无人机竞技者、航模爱好者和遥控模型爱好者提供高清的FPV竞速体验。DJI 飞行眼镜竞速版拥有全新配色及质感出众的皮质材料，它不仅继承DJI 飞行眼镜所有功能，更新增了全景图片浏览、本地视频文件播放功能，影音娱乐体验全面升级。
DJI 飞行眼镜竞速版 - 冲破束缚
更畅快更清晰，沉浸式FPV竞速版体验
DJI 飞行眼镜竞速版搭配OcuSync双频数字图传模块及相机模块，DJI OcuSync天空端
[1]
（即图传模块），支持2.4/5.8GHz双频数字图像传输，并且带来了低至50ms
[2]
的延时及远达7公里
[3]
的图传距离，可适配一系列多旋翼、固定翼航模，体验一场视野宽广、画面清晰、操控高效、畅爽刺激的FPV飞行。
FPV飞行体验
DJI OcuSync天空端系统具备高于模拟图传格式的1280×960p 50fps的画面
[4]
、超低延时、自动跳频技术、最多支持12个固定信道
[5]
等诸多特性，带给用户坐进“驾驶舱”的畅爽操控感。
DJI OcuSync图传模块
DJI OcuSync天空端可同时连接两台飞行眼镜，竞速飞行时，观看者可获得与选手同样的视角，体验疾速狂飙的快感；或同时连接一个“御”Mavic Pro遥控器
[6]
和一台飞行眼镜，通过智能设备的App获取画面，体验身临其境的飞行。
DJI OcuSync相机模块
DJI OcuSync相机
[7]
是与DJI OcuSync天空端搭配的外置相机模块，可以安装在其他多旋翼飞行器和固定翼飞行器上。该相机配备1/3英寸图像传感器，飞行画面清晰度远高于市面上模拟图传FPV眼镜；采用全局快门，有效减少高频振动带来的果冻效应，让画面还原度更高；搭配148°FOV宽视角镜头，带来广阔而真实的飞行画面。借助这些出色的特性，你将可以更精细地操",正面,5,帖子内容为产品发布介绍，通篇使用“高清”“畅快”“升级”等褒义词描述产品功能与体验，无任何批评或负面评价，符合正面情感定义。,正面,,微信公众号
"“电量焦虑”是摄影师尤其是航拍摄影师常见“心病”之一，具体“症状”表现就是在拍
摄工作中时不时忧虑
“还有多少电？几时要换电？充没充上电？”，在不方便找电源的户外进行拍摄时，“症状”尤其强烈。
DJI Power 1000
针
对这一痛点，DJI
推出了具备多接口、尤其能为
DJI生态进行快速充电的DJI Power系列户外电源，
实际充电效果如何？DJ
I Power加上
DJI生态能有啥化学反应？
能否真的缓解
“电量焦虑”
？带着这些问题，让我们一起去了解这款产品。
DJI Power 1000
开箱上手
DJI Power系列户外电源目前共有两款产品，分别是主打便携的DJI Power 500和更高容量的DJI Power 1000。我们手头的这款产品是DJI Power 1000，具有1024wh容量，也就是所谓的1度电，小伙伴们可选择只包含主机和交流电充电线的标配套装。
标配套装
多一点预算，也可以选择包含太阳能板和转接模块、收纳保护包等附件的套装。不仅如此，根据具体使用需求，还可以选购Inspire 3、Mavic 3、Air 3等无人机电池可用的快充线，外出拍摄时就能对电池进行快速充电，大大延长单次外出的有效飞行时间。
含有丰富配件的套装
DJI Power 1000主机重量为13千克，长宽高分别为448x225x230mm，机身两侧有两个把手，裸机状态下可单手拎起搬运，双手搬运则会轻松很多。
单手搬运
如果选购了收纳保护包，还可将主机装到收纳包中，既方便搬运，又防尘、防刮、防水滴溅。收纳包采用了可打开面板和两侧的设计，无需将DJI Power 1000取出就能实现对电源的充电、放电和散热。这款收纳包的颜值很高，对于
设备
保护有强迫症的小伙伴一定要入手。
收纳保护包
选购的太阳能板可在户外为DJI Power环保充电，单块太阳能板充电输出功率最高可达120",正面,5,帖子内容客观介绍DJI Power系列户外电源如何解决航拍摄影师的“电量焦虑”痛点，并详细展示产品功能和开箱体验，整体语气推荐、无批评或负面评价，符合正面情感定义。,正面,,微信公众号
"不知道从什么时候开始，我们对大疆新品的“突破性”升级已经习以为常，如果某款旗舰型号没有令人眼前一亮的
killer feature
，似乎这就不够大疆！于是，当我们看到悟
3
纸面参数时，全画幅传感器、
8K RAW
录制、
O3 Pro+4G
图传，第一感觉是这些升级似乎都理所应当，悟
3
就升级了这些？
带着这些疑问，我们和国内知名摄影指导赵晓时、赵小丁以及刘寅等老师一起参加了大疆在横店举行的新品体验会，一起在实景片场体验了大疆的最新影视航拍旗舰。我们熟知赵小丁老师多年，他是国内摄影师中对新技术极其敏感的代表，从最早的数字摄影机、
4K
电影机以及直升机影视航拍，小丁老师都是第一时间应用到自己的拍摄项目中。时隔近十年，我们还清晰的记得当初看到小丁老师拍摄的中国第一部全流程
4K
主流院线电影的震撼感受。赵小丁老师从
2018
年拍摄《影》的时候就开始用禅思
X5+
悟
2
的组合，他如何看待悟
3
耗时七年给影视行业交来的最新作业是我们关注的重点。
知名摄影指导们现场与Inspire3合照
直击痛点
回顾悟系列航拍无人机的迭代历史，悟
1
通过一体化可变形机身和
360
度环拍云台整合了传统上分离的飞行、图传和高质量影像拍摄系统，悟
2
通过迭代相机云台
X5
到
X7
，让航拍无人机具备了
S35
规格传感器、内录
RAW
格式等电影级配置，成为了真正意义上能飞行的电影机，让昂贵的直升机航拍和复杂的多旋翼重载无人机加电影机的组合方式逐渐成为小众，每一步迭代都直击了影视工业航拍环节的痛点。
悟
3
的发布又会解决哪些痛点？摄影指导们最关注哪些功能？在体验会现场，摄影指导们不约而同都对悟
3
的航点飞行
Pro
功能表示了极大的关注，传统的航点飞行功能再结合厘米级精度的
RTK
定位，让悟
3
可模拟伸缩炮、索道和轨道的拍摄效果，相当于在空间中设置了一条无形的
3D
轨道",负面,1,帖子内容是对大疆悟3新品的体验报道，全文以赞赏和期待的语气描述产品升级及知名摄影师的正面评价，属于推荐和赞美倾向，AI误判为负面。,正面,,微信公众号
"去年 10 月，大疆发布了御 Mavic Mini。发布之后，产品深受大众消费者的喜爱，已经帮助许多人实现了他们的航拍梦。
时隔一年，大疆在 11 月 5 日带来了升级之作 DJI Mini 2（下文简称 Mini 2）。在延续了 Mini 系列「249 克」、「极致便携」等核心优势的基础上，Mini 2 的飞行性能、图传性能、相机性能、智能功能等方面有了全面提升。
来一场说走就走的旅行，上周我们前往了地处粤东的国家历史文化名城 —— 潮州。身为无人机「小白」的我，谈谈如何用 DJI Mini 2 打开航拍新视界。
DJI Mini 2 4K 拍摄，部分画质受平台压缩
硬件设计
Mini 2 延续了前作御 Mavic Mini 的设计语言，折叠式的机身设计与前代基本保持一致，机身仍几乎全部使用塑料材质。
与前作一样，Mini 2 的脚架仍较短，在日常飞行中我们每次起飞的地面不一定都是平整光滑的，所以需要特别注意保护飞机的摄像头，避免磕碰。
在附带的配件上，Mini 2 配备了和 Mavic Air 2 同款且能通用的遥控器。
这款全新设计的遥控器，采用人体工程学设计，实测下来 Mini 2 整体操控手感细腻顺滑，更加适合新手操控飞行。同时，新的夹持结构设计能够更好地适配大部分全面屏手机。
虽然 Mini 2 的遥控器比前代整体外观上大了很多，但换来的是更长的续航时间，大大提高了飞行拍摄的安全性。在这几天高强度的拍摄过程中，我的遥控器没有充电，但是电量仍有剩余。
套装版配备了三块电池和电池管家，电池安装方式仍采用「后置式」，值得一提的是前代的电池在 Mini 2 上依旧可以通用。
今年 Mini 2 配备的收纳包也进行了升级。对比前代收纳包，新款的收纳包在外出游玩时，收纳和携带更加方便快捷。
除了设计上的延续，Mini 2 的大小和重量也跟前作看齐。紧凑式机身的 Mini 2",负面,1,帖子整体是对 DJI Mini 2 的详细介绍和正面体验分享，虽有提及脚架较短等小细节，但属于客观描述而非批评，整体情感倾向为推荐和赞美。,正面,,微信公众号
